date,breed,group,popularity_rank,height_avg,weight_avg,lifeexp_avg,energy_level,trainability_level,shedding_level,demeanor_level,baseline_pop_index,popularity_index,monthly_registrations
2020-08-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,30.96,21
2020-09-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,26.34,11
2020-10-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,21.12,10
2020-11-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,20.29,5
2020-12-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,21.96,13
2021-01-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,24.51,12
2021-02-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,28.15,18
2021-03-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,33.97,10
2021-04-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,36.89,17
2021-05-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,36.39,23
2021-06-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,34.61,16
2021-07-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,32.26,17
2021-08-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,30.12,11
2021-09-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,24.83,9
2021-10-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,24.28,19
2021-11-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,22.8,14
2021-12-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,22.45,4
2022-01-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,26.68,13
2022-02-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,32.4,18
2022-03-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,35.74,21
2022-04-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,39.0,15
2022-05-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,39.21,26
2022-06-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,37.83,21
2022-07-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,36.38,8
2022-08-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,32.64,14
2022-09-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,26.83,17
2022-10-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,26.86,11
2022-11-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,24.0,18
2022-12-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,25.85,10
2023-01-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,28.94,11
2023-02-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,32.41,17
2023-03-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,36.24,22
2023-04-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,38.57,13
2023-05-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,40.15,19
2023-06-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,37.8,16
2023-07-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,33.59,16
2023-08-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,30.47,15
2023-09-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,28.42,14
2023-10-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,25.02,4
2023-11-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,25.6,11
2023-12-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,26.02,12
2024-01-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,30.17,16
2024-02-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,34.31,21
2024-03-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,37.86,15
2024-04-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,40.79,20
2024-05-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,39.98,20
2024-06-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,38.57,18
2024-07-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,33.75,13
2024-08-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,28.38,11
2024-09-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,26.31,10
2024-10-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,23.7,10
2024-11-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,24.1,10
2024-12-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,25.33,13
2018-01-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,38.19,22
2018-02-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,41.27,21
2018-03-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,46.31,27
2018-04-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,48.82,20
2018-05-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,48.64,16
2018-06-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,45.6,28
2018-07-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,42.79,11
2018-08-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,38.6,16
2018-09-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,34.06,19
2018-10-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,31.75,10
2018-11-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,32.93,19
2018-12-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,35.87,14
2019-01-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,36.44,12
2019-02-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,40.44,20
2019-03-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,44.28,19
2019-04-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,47.66,15
2019-05-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,49.36,21
2019-06-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,48.25,24
2019-07-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,45.0,22
2019-08-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,39.29,22
2019-09-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,34.89,15
2019-10-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,32.35,17
2019-11-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,31.44,19
2019-12-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,31.74,16
2020-01-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,34.51,20
2020-02-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,40.32,22
2020-03-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,43.55,15
2020-04-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,46.53,14
2020-05-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,47.36,25
2020-06-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,47.05,22
2020-07-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,43.74,18
2020-08-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,38.99,19
2020-09-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,35.19,10
2020-10-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,34.06,15
2020-11-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,34.82,10
2020-12-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,36.31,18
2021-01-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,39.16,21
2021-02-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,42.24,20
2021-03-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,46.64,20
2021-04-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,50.68,14
2021-05-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,52.67,27
2021-06-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,48.93,23
2021-07-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,44.7,25
2021-08-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,43.31,21
2021-09-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,38.38,13
2021-10-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,36.43,17
2021-11-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,34.38,16
2021-12-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,36.56,18
2022-01-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,40.49,10
2022-02-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,42.23,20
2022-03-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,43.93,22
2022-04-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,47.59,30
2022-05-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,47.8,24
2022-06-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,47.02,16
2022-07-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,45.64,21
2022-08-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,42.6,15
2022-09-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,39.48,11
2022-10-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,34.47,13
2022-11-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,34.45,16
2022-12-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,34.36,9
2023-01-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,37.14,16
2023-02-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,42.41,21
2023-03-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,47.3,31
2023-04-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,50.07,22
2023-05-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,51.19,20
2023-06-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,49.43,23
2023-07-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,45.03,16
2023-08-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,40.7,19
2023-09-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,37.72,16
2023-10-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,34.09,18
2023-11-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,32.75,8
2023-12-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,33.17,11
2024-01-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,36.13,20
2024-02-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,40.95,17
2024-03-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,45.41,19
2024-04-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,50.51,22
2024-05-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,52.47,20
2024-06-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,49.2,13
2024-07-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,47.62,22
2024-08-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,42.81,23
2024-09-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,40.55,14
2024-10-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,36.45,14
2024-11-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,35.57,20
2024-12-01,Afghan Hound,Hound Group,113,66.04,24.95,13.5,4,2,2,2,41.36,37.2,17
2018-01-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,74.96,39
2018-02-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,78.65,40
2018-03-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,83.82,38
2018-04-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,85.08,36
2018-05-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,87.32,43
2018-06-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,84.37,26
2018-07-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,80.32,37
2018-08-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,76.06,31
2018-09-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,72.97,39
2018-10-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,70.64,41
2018-11-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,69.79,32
2018-12-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,71.1,30
2019-01-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,73.13,37
2019-02-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,79.73,47
2019-03-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,83.9,29
2019-04-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,86.28,35
2019-05-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,86.59,42
2019-06-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,84.67,37
2019-07-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,82.36,45
2019-08-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,77.19,32
2019-09-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,72.4,37
2019-10-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,69.06,32
2019-11-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,70.62,29
2019-12-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,72.65,33
2020-01-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,75.51,39
2020-02-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,78.93,31
2020-03-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,83.8,41
2020-04-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,87.14,44
2020-05-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,85.63,48
2020-06-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,84.7,42
2020-07-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,80.73,35
2020-08-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,76.15,40
2020-09-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,74.95,36
2020-10-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,73.79,34
2020-11-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,72.59,42
2020-12-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,72.83,38
2021-01-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,76.74,32
2021-02-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,81.95,33
2021-03-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,84.86,33
2021-04-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,85.69,36
2021-05-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,88.22,32
2021-06-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,84.81,42
2021-07-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,79.63,40
2021-08-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,76.16,27
2021-09-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,71.76,40
2021-10-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,69.28,45
2021-11-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,69.27,26
2021-12-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,71.79,40
2022-01-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,75.75,38
2022-02-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,79.8,40
2022-03-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,83.38,43
2022-04-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,85.72,44
2022-05-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,85.86,42
2022-06-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,84.53,25
2022-07-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,81.28,33
2022-08-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,79.62,48
2022-09-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,75.15,44
2022-10-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,71.99,40
2022-11-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,71.92,31
2022-12-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,72.69,36
2023-01-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,75.01,36
2023-02-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,78.1,47
2023-03-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,83.22,36
2023-04-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,85.63,43
2023-05-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,87.25,34
2023-06-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,84.06,46
2023-07-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,81.56,34
2023-08-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,78.33,29
2023-09-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,74.34,38
2023-10-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,73.6,32
2023-11-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,71.79,33
2023-12-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,71.49,34
2024-01-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,77.7,30
2024-02-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,81.68,36
2024-03-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,84.78,51
2024-04-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,89.15,41
2024-05-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,89.93,38
2024-06-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,87.25,37
2024-07-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,83.84,38
2024-08-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,79.22,36
2024-09-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,75.53,41
2024-10-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,72.33,36
2024-11-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,72.19,43
2024-12-01,Airedale Terrier,Terrier Group,60,58.42,27.22,12.5,3,5,3,4,69.11,71.04,39
2018-01-01,Akita,Working Group,47,66.04,45.36,11.5,4,5,3,3,75.92,72.4,35
2018-02-01,Akita,Working Group,47,66.04,45.36,11.5,4,5,3,3,75.92,76.22,38
2018-03-01,Akita,Working Group,47,66.04,45.36,11.5,4,5,3,3,75.92,78.61,36
2018-04-01,Akita,Working Group,47,66.04,45.36,11.5,4,5,3,3,75.92,82.17,35
2018-05-01,Akita,Working Group,47,66.04,45.36,11.5,4,5,3,3,75.92,83.54,32
2018-06-01,Akita,Working Group,47,66.04,45.36,11.5,4,5,3,3,75.92,82.97,24
