date,breed,group,region,height_avg,weight_avg,lifeexp_avg,energy_level,trainability_level,shedding_level,family_friendliness,popularity_index,monthly_registrations,google_search_index,vet_incidents_per_1k,adoption_rate,complaints_per_1k
2019-05-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,51.25,23,58.41,3.54,0.579,7.75
2019-06-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,50.09,20,57.15,3.74,0.543,7.23
2019-07-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,46.67,24,53.38,4.23,0.441,9.55
2019-08-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,42.45,27,49.48,4.37,0.338,11.44
2019-09-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,38.39,16,46.82,3.56,0.247,13.63
2019-10-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,35.76,14,40.77,4.87,0.213,13.16
2019-11-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,35.22,17,40.73,4.23,0.214,12.13
2019-12-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,37.0,10,45.21,3.52,0.231,12.69
2020-01-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,38.43,22,42.64,3.98,0.263,12.45
2020-02-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,43.08,10,50.74,5.58,0.361,10.73
2020-03-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,47.27,16,50.79,4.35,0.461,9.19
2020-04-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,50.36,17,55.9,4.57,0.544,11.04
2020-05-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,51.5,24,58.95,5.41,0.577,9.62
2020-06-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,50.12,20,56.05,4.93,0.515,7.7
2020-07-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,46.94,18,52.9,3.86,0.474,7.99
2020-08-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,42.87,17,50.22,4.44,0.352,11.08
2020-09-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,39.02,22,42.37,4.2,0.265,10.27
2020-10-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,36.48,11,42.81,4.83,0.207,11.32
2020-11-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,35.86,10,42.75,4.24,0.234,11.77
2020-12-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,37.48,17,43.34,5.55,0.235,10.21
2021-01-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,38.94,19,44.21,4.07,0.265,11.56
2021-02-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,43.61,21,48.77,4.28,0.374,9.36
2021-03-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,48.32,18,55.28,4.76,0.503,7.24
2021-04-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,51.44,26,54.98,6.23,0.572,10.07
2021-05-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,52.38,21,59.26,5.33,0.618,6.5
2021-06-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,51.06,22,56.55,5.11,0.57,8.86
2021-07-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,47.57,23,53.35,4.26,0.489,8.43
2021-08-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,43.4,20,50.77,5.54,0.364,11.93
2021-09-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,39.31,14,46.66,6.39,0.269,11.2
2021-10-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,36.64,27,43.28,5.87,0.206,13.79
2021-11-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,36.04,16,42.54,5.51,0.211,11.56
2021-12-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,37.74,15,45.31,5.3,0.25,11.69
2022-01-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,39.27,18,48.55,4.16,0.281,10.69
2022-02-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,43.93,13,51.22,5.05,0.375,11.28
2022-03-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,48.17,19,52.89,5.25,0.521,7.05
2022-04-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,51.11,20,54.03,4.48,0.55,7.75
2022-05-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,52.1,22,61.44,6.24,0.597,7.15
2022-06-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,50.71,28,54.19,5.03,0.577,8.63
2022-07-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,47.46,19,55.65,5.41,0.477,8.28
2022-08-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,43.31,28,50.84,4.88,0.364,10.69
2022-09-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,39.33,18,44.97,3.04,0.253,12.0
2022-10-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,36.74,10,44.13,4.39,0.23,10.58
2022-11-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,36.33,18,41.23,4.63,0.213,11.92
2022-12-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,37.82,19,45.96,5.6,0.247,11.59
2023-01-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,39.31,15,44.72,4.9,0.285,10.12
2023-02-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,43.91,15,51.29,4.8,0.377,10.0
2023-03-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,48.3,22,56.13,4.94,0.489,11.04
2023-04-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,51.54,19,57.6,4.57,0.594,7.84
2023-05-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,52.24,19,62.29,4.11,0.601,7.06
2023-06-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,51.17,19,58.22,3.7,0.564,8.72
2023-07-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,47.8,24,55.33,4.9,0.467,8.06
2023-08-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,43.63,15,49.13,5.16,0.382,9.98
2023-09-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,39.74,17,45.91,6.91,0.294,10.6
2023-10-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,36.99,20,45.42,5.02,0.239,12.6
2023-11-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,36.45,16,41.42,5.23,0.223,13.16
2023-12-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,38.14,20,41.0,4.48,0.242,12.67
2024-01-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,39.7,14,45.43,5.1,0.277,11.66
2024-02-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,44.15,12,48.99,5.39,0.406,8.98
2024-03-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,48.82,19,55.61,3.86,0.509,10.15
2024-04-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,51.96,29,59.07,3.59,0.603,8.47
2024-05-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,52.82,17,57.88,5.62,0.613,7.24
2024-06-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,51.57,22,57.32,5.65,0.586,7.44
2024-07-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,48.35,24,53.14,5.01,0.498,8.78
2024-08-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,44.21,21,49.09,4.0,0.385,10.73
2024-09-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,39.79,24,46.41,4.94,0.283,11.52
2024-10-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,37.3,11,44.56,6.19,0.234,9.84
2024-11-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,36.72,14,43.27,3.33,0.229,10.8
2024-12-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,38.34,21,46.13,3.57,0.272,10.54
2018-01-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,37.5,12,42.24,6.86,0.191,12.45
2018-02-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,42.11,12,48.24,6.16,0.304,9.45
2018-03-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,46.52,22,50.33,6.9,0.419,9.74
2018-04-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,49.61,27,53.93,5.34,0.488,8.83
2018-05-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,50.68,21,54.74,5.86,0.506,8.21
2018-06-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,49.37,18,52.98,6.27,0.5,8.76
2018-07-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,46.1,15,53.21,5.41,0.39,9.97
2018-08-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,41.96,20,48.64,5.44,0.278,10.85
2018-09-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,37.88,15,40.39,7.11,0.209,9.29
2018-10-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,35.2,23,39.65,7.66,0.168,14.44
2018-11-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,34.8,10,39.75,6.31,0.175,12.93
2018-12-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,36.26,12,41.56,6.39,0.156,12.28
2019-01-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,37.58,21,43.73,6.52,0.217,13.21
2019-02-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,42.36,25,46.05,6.05,0.306,11.01
2019-03-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,46.72,18,52.31,6.62,0.407,10.24
2019-04-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,49.83,13,54.22,7.05,0.502,9.44
2019-05-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,51.06,19,55.79,6.71,0.533,7.89
2019-06-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,49.69,21,52.25,4.71,0.494,9.0
2019-07-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,46.39,17,49.24,6.69,0.412,8.46
2019-08-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,42.28,19,46.46,6.01,0.319,10.67
2019-09-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,38.3,24,42.72,5.93,0.213,11.32
2019-10-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,35.71,17,43.45,5.4,0.181,11.69
2019-11-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,35.07,15,41.96,5.66,0.168,13.01
2019-12-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,36.6,12,39.98,7.13,0.177,11.98
2020-01-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,38.15,10,41.88,5.25,0.202,10.71
2020-02-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,42.76,13,45.32,6.72,0.329,10.45
2020-03-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,47.05,24,49.98,6.57,0.449,11.85
2020-04-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,50.08,9,52.71,6.99,0.502,8.2
2020-05-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,50.89,15,55.15,5.03,0.52,8.88
2020-06-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,49.62,21,51.88,6.16,0.467,7.99
2020-07-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,46.42,15,49.9,5.77,0.434,10.08
2020-08-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,42.19,14,46.83,5.72,0.294,11.26
2020-09-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,38.16,18,41.53,7.65,0.213,12.35
2020-10-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,35.53,15,38.52,7.32,0.168,12.35
2020-11-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,34.87,16,37.65,5.93,0.16,12.22
2020-12-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,36.64,13,42.95,6.6,0.203,11.99
2021-01-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,38.0,14,45.12,6.63,0.226,13.79
2021-02-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,42.41,21,45.79,6.19,0.309,8.37
2021-03-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,47.11,21,51.15,5.97,0.438,10.04
2021-04-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,50.05,13,52.52,5.78,0.506,7.99
2021-05-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,50.93,17,56.36,6.43,0.513,8.74
2021-06-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,49.68,16,54.37,5.62,0.495,7.97
2021-07-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,46.52,21,52.64,6.98,0.383,11.42
2021-08-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,42.43,19,46.02,6.13,0.299,11.58
2021-09-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,38.5,13,45.07,6.2,0.223,12.07
2021-10-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,35.84,12,41.64,6.1,0.165,13.22
2021-11-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,35.19,10,40.91,5.57,0.165,12.18
2021-12-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,36.73,12,41.93,6.93,0.211,12.58
2022-01-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,38.41,12,42.71,6.06,0.194,14.04
2022-02-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,42.96,12,48.52,6.83,0.308,10.81
2022-03-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,47.46,26,49.08,6.01,0.423,10.73
2022-04-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,50.83,20,55.35,6.68,0.536,7.46
2022-05-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,51.82,31,56.71,6.9,0.551,9.97
2022-06-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,50.52,21,54.29,4.53,0.515,8.83
2022-07-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,47.36,24,51.74,4.21,0.407,10.64
2022-08-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,43.0,16,49.06,6.67,0.325,9.94
2022-09-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,39.1,12,43.21,5.01,0.222,9.53
2022-10-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,36.53,10,42.19,5.4,0.168,11.19
2022-11-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,35.8,12,41.06,5.49,0.179,11.91
2022-12-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,37.26,19,39.79,4.47,0.194,11.1
2023-01-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,38.71,19,45.71,7.53,0.207,12.61
2023-02-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,43.24,17,45.31,5.37,0.324,10.82
2023-03-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,47.46,18,55.08,6.44,0.438,8.96
2023-04-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,50.58,28,52.78,7.08,0.518,8.53
2023-05-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,51.51,17,56.0,5.02,0.546,8.32
2023-06-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,50.22,30,55.57,5.91,0.502,9.18
2023-07-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,46.92,14,53.67,6.14,0.404,9.11
2023-08-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,42.46,10,47.19,6.46,0.322,13.42
2023-09-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,38.59,20,40.52,7.58,0.228,11.39
2023-10-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,36.07,13,41.73,6.74,0.167,12.18
2023-11-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,35.41,11,39.11,5.78,0.166,13.23
2023-12-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,36.85,10,43.02,7.52,0.203,13.26
2024-01-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,38.36,17,45.25,6.54,0.212,12.21
2024-02-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,42.91,22,49.57,5.93,0.312,10.8
2024-03-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,47.33,26,49.51,7.7,0.431,9.63
2024-04-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,50.47,22,54.42,6.5,0.508,10.77
2024-05-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,51.23,22,56.86,5.12,0.512,8.12
2024-06-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,49.8,11,54.01,7.77,0.484,8.82
2024-07-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,46.66,21,50.09,7.65,0.421,9.24
2024-08-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,42.58,21,47.34,6.57,0.293,10.47
2024-09-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,38.6,13,41.38,6.56,0.224,13.88
2024-10-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,35.96,14,40.64,7.14,0.182,12.2
2024-11-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,35.29,9,38.14,7.25,0.176,11.37
2024-12-01,Afghan Hound,Hound Group,Occidente,66.04,24.95,13.5,4,2,2,2,37.13,14,43.86,4.21,0.19,11.74
2018-01-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,62.92,26,66.28,5.4,0.841,8.01
2018-02-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,67.47,37,67.59,5.34,0.899,5.36
2018-03-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,71.82,31,71.82,6.79,0.936,3.39
2018-04-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,74.73,41,80.03,5.17,0.98,6.59
2018-05-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,75.74,33,82.47,5.62,0.96,5.07
2018-06-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,74.3,31,78.29,7.22,0.976,4.47
2018-07-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,71.06,33,73.79,4.98,0.915,4.38
2018-08-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,66.78,28,69.47,4.74,0.886,4.95
2018-09-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,62.88,25,64.67,5.61,0.849,5.27
2018-10-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,60.09,25,67.13,7.15,0.782,5.94
2018-11-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,59.58,31,62.61,5.54,0.77,7.79
2018-12-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,61.16,33,66.82,5.86,0.815,4.85
2019-01-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,62.56,28,67.07,5.11,0.848,4.08
2019-02-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,67.24,33,70.64,4.71,0.887,4.46
2019-03-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,71.77,30,72.33,6.53,0.939,5.16
2019-04-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,74.94,22,78.63,5.68,0.958,4.43
2019-05-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,75.84,43,82.56,4.16,0.969,3.17
2019-06-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,74.5,28,76.8,5.42,0.954,4.53
2019-07-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,71.34,33,76.47,5.89,0.923,2.65
2019-08-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,67.08,33,68.04,4.45,0.88,3.01
2019-09-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,63.09,30,67.06,5.89,0.822,5.67
2019-10-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,60.67,31,66.32,6.19,0.776,5.76
2019-11-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,60.07,28,63.18,5.8,0.806,5.52
2019-12-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,61.71,33,64.85,5.32,0.806,4.15
2020-01-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,63.09,29,66.05,6.56,0.82,7.82
2020-02-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,67.63,29,71.65,4.75,0.895,5.7
2020-03-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,71.97,27,77.71,6.05,0.923,3.91
2020-04-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,75.04,31,77.14,5.45,0.958,6.29
2020-05-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,76.17,30,79.85,6.35,0.979,5.81
2020-06-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,74.83,34,79.03,4.33,0.972,6.57
2020-07-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,71.47,31,77.56,4.47,0.933,3.46
2020-08-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,67.18,25,70.21,5.45,0.894,6.51
2020-09-01,Airedale Terrier,Terrier Group,Noroeste,58.42,27.22,12.5,3,5,3,4,63.22,33,69.35,6.54,0.852,5.32
